Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	Confidence
78	Spectrogram 1	1	156.769	157.659	465.6	770.5	humpback_call	0.1677
79	Spectrogram 1	1	160.446	161.007	450.7	821.4	humpback_call	0.5454
80	Spectrogram 1	1	162.385	162.983	2371.6	3000.0	humpback_call	0.2863
81	Spectrogram 1	1	162.390	163.382	978.0	2438.7	humpback_call	0.4864
82	Spectrogram 1	1	164.642	165.235	351.4	1015.2	humpback_call	0.3350
83	Spectrogram 1	1	166.635	167.721	1380.2	2355.2	humpback_call	0.3582
84	Spectrogram 1	1	169.629	170.493	374.3	884.1	humpback_call	0.6179
85	Spectrogram 1	1	170.531	171.453	511.4	795.5	humpback_call	0.1567
86	Spectrogram 1	1	171.892	172.830	1087.3	2275.3	humpback_call	0.5719
87	Spectrogram 1	1	173.667	174.331	489.1	926.4	humpback_call	0.5493
88	Spectrogram 1	1	174.133	175.459	1306.0	2313.2	humpback_call	0.3099
89	Spectrogram 1	1	175.939	177.139	1364.8	2419.0	humpback_call	0.4289
90	Spectrogram 1	1	178.689	179.993	388.9	793.9	humpback_call	0.2806
91	Spectrogram 1	1	179.378	181.107	388.0	800.7	humpback_call	0.3567
92	Spectrogram 1	1	184.418	184.985	321.6	798.8	humpback_call	0.6114
93	Spectrogram 1	1	186.292	186.978	2356.9	2997.9	humpback_call	0.2911
94	Spectrogram 1	1	186.295	187.346	995.4	2528.8	humpback_call	0.4724
95	Spectrogram 1	1	188.242	188.847	477.5	999.2	humpback_call	0.3555
96	Spectrogram 1	1	188.719	190.371	1332.1	2337.1	humpback_call	0.2693
97	Spectrogram 1	1	190.700	191.675	1438.4	2391.5	humpback_call	0.5632
98	Spectrogram 1	1	193.292	194.224	270.4	878.2	humpback_call	0.6110
99	Spectrogram 1	1	194.241	195.020	491.0	769.7	humpback_call	0.2086
100	Spectrogram 1	1	195.617	196.570	1112.3	2347.5	humpback_call	0.4949
101	Spectrogram 1	1	197.561	198.149	517.6	956.3	humpback_call	0.5528
102	Spectrogram 1	1	198.125	199.353	1078.3	2231.1	humpback_call	0.2498
103	Spectrogram 1	1	199.817	200.860	1436.3	2320.5	humpback_call	0.3251
104	Spectrogram 1	1	202.364	203.051	393.9	788.6	humpback_call	0.2007
105	Spectrogram 1	1	203.104	204.985	455.2	801.3	humpback_call	0.3633
106	Spectrogram 1	1	207.914	208.558	274.1	858.2	humpback_call	0.7590
107	Spectrogram 1	1	209.873	210.830	977.2	2249.3	humpback_call	0.4371
108	Spectrogram 1	1	211.932	212.521	516.1	944.1	humpback_call	0.5465
109	Spectrogram 1	1	212.417	213.761	1171.1	2163.1	humpback_call	0.3931
110	Spectrogram 1	1	214.258	215.238	1358.0	2406.1	humpback_call	0.4922
111	Spectrogram 1	1	217.068	217.872	303.1	878.2	humpback_call	0.5795
112	Spectrogram 1	1	217.505	218.584	398.2	871.6	humpback_call	0.1973
113	Spectrogram 1	1	219.162	220.120	1421.0	2466.4	humpback_call	0.4630
114	Spectrogram 1	1	221.467	223.029	1136.9	2424.1	humpback_call	0.2291
115	Spectrogram 1	1	225.124	225.828	422.4	785.8	humpback_call	0.1760
116	Spectrogram 1	1	225.755	227.474	409.3	775.8	humpback_call	0.4006
117	Spectrogram 1	1	227.545	228.236	419.7	764.3	humpback_call	0.1750
118	Spectrogram 1	1	231.084	231.629	444.8	781.4	humpback_call	0.3140
119	Spectrogram 1	1	233.282	234.144	1001.9	2371.0	humpback_call	0.5004
120	Spectrogram 1	1	235.205	235.759	557.4	878.5	humpback_call	0.3155
121	Spectrogram 1	1	235.752	236.697	1136.2	2266.4	humpback_call	0.4790
122	Spectrogram 1	1	237.201	237.833	543.3	936.4	humpback_call	0.3797
123	Spectrogram 1	1	237.775	238.429	1157.2	2262.0	humpback_call	0.5162
124	Spectrogram 1	1	240.265	240.902	351.6	880.6	humpback_call	0.6932
125	Spectrogram 1	1	241.048	241.860	531.6	841.2	humpback_call	0.1857
126	Spectrogram 1	1	242.326	243.110	1112.4	2251.0	humpback_call	0.5773
127	Spectrogram 1	1	244.049	244.989	361.0	1710.1	humpback_call	0.1757
128	Spectrogram 1	1	244.667	245.864	1088.9	2455.3	humpback_call	0.5255
129	Spectrogram 1	1	246.253	247.486	1409.9	2295.4	humpback_call	0.3817
130	Spectrogram 1	1	249.024	249.740	307.2	843.7	humpback_call	0.3515
131	Spectrogram 1	1	249.589	251.239	418.9	781.3	humpback_call	0.2595
132	Spectrogram 1	1	255.006	255.469	285.7	904.9	humpback_call	0.4478
133	Spectrogram 1	1	256.749	257.489	592.9	1684.5	humpback_call	0.2991
134	Spectrogram 1	1	257.138	257.834	977.5	2223.2	humpback_call	0.4561
135	Spectrogram 1	1	258.905	259.519	586.5	921.4	humpback_call	0.2541
136	Spectrogram 1	1	259.409	260.000	879.2	1758.2	humpback_call	0.3925
137	Spectrogram 1	1	259.512	260.462	1150.4	2165.6	humpback_call	0.4797
138	Spectrogram 1	1	261.433	262.059	510.7	970.9	humpback_call	0.5353
139	Spectrogram 1	1	264.180	264.982	265.8	935.6	humpback_call	0.5707
140	Spectrogram 1	1	266.242	266.694	375.3	990.5	humpback_call	0.3037
141	Spectrogram 1	1	266.674	267.252	1241.2	2250.5	humpback_call	0.4607
142	Spectrogram 1	1	267.938	268.749	522.1	993.1	humpback_call	0.2079
143	Spectrogram 1	1	269.015	269.890	1029.6	2229.1	humpback_call	0.4997
144	Spectrogram 1	1	269.508	270.229	50.8	316.4	humpback_call	0.3454
145	Spectrogram 1	1	270.504	271.318	439.1	949.4	humpback_call	0.3585
146	Spectrogram 1	1	273.220	273.996	356.7	685.6	humpback_call	0.2917
147	Spectrogram 1	1	273.921	275.630	376.5	764.5	humpback_call	0.3943
148	Spectrogram 1	1	279.418	279.970	420.5	802.1	humpback_call	0.4868
149	Spectrogram 1	1	281.066	281.707	331.1	982.6	humpback_call	0.5358
150	Spectrogram 1	1	281.487	282.271	741.9	2014.9	humpback_call	0.2366
151	Spectrogram 1	1	283.214	283.872	414.8	820.2	humpback_call	0.2267
152	Spectrogram 1	1	283.735	284.759	778.7	2121.2	humpback_call	0.4037
153	Spectrogram 1	1	283.894	284.613	2012.5	2996.9	humpback_call	0.2510
154	Spectrogram 1	1	286.881	287.512	281.5	887.5	humpback_call	0.6386
155	Spectrogram 1	1	287.501	288.447	436.0	812.9	humpback_call	0.1671
156	Spectrogram 1	1	289.160	289.731	1739.8	3000.0	humpback_call	0.1541
157	Spectrogram 1	1	289.282	289.983	856.1	2024.1	humpback_call	0.3459
158	Spectrogram 1	1	291.503	292.505	756.9	1791.1	humpback_call	0.4545
159	Spectrogram 1	1	293.314	293.915	514.3	862.7	humpback_call	0.3310
160	Spectrogram 1	1	295.424	295.997	365.8	757.9	humpback_call	0.2713
161	Spectrogram 1	1	296.298	297.961	410.7	766.6	humpback_call	0.2581
162	Spectrogram 1	1	297.501	298.340	360.2	778.1	humpback_call	0.3167
163	Spectrogram 1	1	301.454	302.093	295.6	859.2	humpback_call	0.5835
164	Spectrogram 1	1	303.278	304.219	319.2	1695.2	humpback_call	0.2719
165	Spectrogram 1	1	305.373	306.393	402.9	1342.2	humpback_call	0.2641
166	Spectrogram 1	1	306.693	307.496	55.2	260.3	humpback_call	0.1608
167	Spectrogram 1	1	307.550	308.427	444.3	784.6	humpback_call	0.3855
168	Spectrogram 1	1	310.670	311.259	270.9	849.1	humpback_call	0.6673
169	Spectrogram 1	1	311.265	312.271	504.9	798.9	humpback_call	0.2020
170	Spectrogram 1	1	312.629	313.633	505.1	1586.4	humpback_call	0.3167
171	Spectrogram 1	1	312.733	313.428	1523.2	1945.8	humpback_call	0.2075
172	Spectrogram 1	1	314.879	316.229	315.8	921.2	humpback_call	0.3852
173	Spectrogram 1	1	317.185	318.229	425.9	904.2	humpback_call	0.4548
174	Spectrogram 1	1	320.068	320.778	321.0	645.9	humpback_call	0.2623
175	Spectrogram 1	1	320.717	322.604	388.5	736.3	humpback_call	0.3290
176	Spectrogram 1	1	322.502	323.221	426.7	755.0	humpback_call	0.3086
177	Spectrogram 1	1	326.114	326.772	264.0	812.5	humpback_call	0.5751
178	Spectrogram 1	1	328.608	329.673	302.5	880.4	humpback_call	0.5404
179	Spectrogram 1	1	330.635	332.275	455.6	790.1	humpback_call	0.2820
180	Spectrogram 1	1	334.587	335.327	244.9	787.9	humpback_call	0.4169
181	Spectrogram 1	1	335.002	335.935	345.3	746.7	humpback_call	0.2169
182	Spectrogram 1	1	336.881	337.766	265.4	882.3	humpback_call	0.6101
183	Spectrogram 1	1	338.939	339.251	307.2	782.3	humpback_call	0.1507
184	Spectrogram 1	1	340.005	340.792	337.9	875.5	humpback_call	0.4004
185	Spectrogram 1	1	343.293	345.216	335.8	711.3	humpback_call	0.3242
186	Spectrogram 1	1	345.001	345.694	374.4	699.6	humpback_call	0.1816
187	Spectrogram 1	1	348.653	349.485	245.8	727.5	humpback_call	0.4627
188	Spectrogram 1	1	351.258	352.450	254.5	925.3	humpback_call	0.6374
189	Spectrogram 1	1	353.224	355.072	420.4	803.8	humpback_call	0.3259
190	Spectrogram 1	1	355.016	355.869	397.4	801.3	humpback_call	0.1937
191	Spectrogram 1	1	357.528	358.577	198.5	783.3	humpback_call	0.4680
192	Spectrogram 1	1	359.837	360.887	261.2	894.6	humpback_call	0.6153
193	Spectrogram 1	1	361.836	362.490	328.3	762.5	humpback_call	0.1601
194	Spectrogram 1	1	362.383	363.841	408.7	773.0	humpback_call	0.3973
195	Spectrogram 1	1	365.537	366.237	299.0	564.7	humpback_call	0.2131
196	Spectrogram 1	1	366.192	367.749	335.6	712.3	humpback_call	0.3489
197	Spectrogram 1	1	367.531	368.483	374.4	647.6	humpback_call	0.3341
198	Spectrogram 1	1	371.488	372.452	221.6	713.7	humpback_call	0.5266
199	Spectrogram 1	1	374.292	375.359	260.9	855.5	humpback_call	0.5800
200	Spectrogram 1	1	375.000	375.875	273.4	843.9	humpback_call	0.2839
201	Spectrogram 1	1	376.431	377.847	399.0	733.5	humpback_call	0.4330
202	Spectrogram 1	1	377.500	377.860	261.8	896.5	humpback_call	0.2364
203	Spectrogram 1	1	380.066	380.856	216.0	753.3	humpback_call	0.6649
204	Spectrogram 1	1	382.286	383.330	283.5	833.6	humpback_call	0.3725
205	Spectrogram 1	1	384.397	386.053	367.2	733.9	humpback_call	0.3915
206	Spectrogram 1	1	387.701	388.591	283.3	550.6	humpback_call	0.2734
207	Spectrogram 1	1	388.463	390.237	299.9	696.7	humpback_call	0.3347
208	Spectrogram 1	1	390.020	390.739	357.1	628.0	humpback_call	0.3568
209	Spectrogram 1	1	393.501	394.304	249.9	701.5	humpback_call	0.3650
210	Spectrogram 1	1	396.373	397.667	375.1	819.7	humpback_call	0.3967
211	Spectrogram 1	1	398.526	399.388	384.3	710.4	humpback_call	0.4931
212	Spectrogram 1	1	401.322	402.109	271.1	718.7	humpback_call	0.6597
213	Spectrogram 1	1	403.958	404.746	364.0	795.9	humpback_call	0.5932
214	Spectrogram 1	1	406.224	407.116	267.7	716.5	humpback_call	0.6420
215	Spectrogram 1	1	409.005	409.808	221.1	690.5	humpback_call	0.5151
216	Spectrogram 1	1	410.859	411.388	389.4	801.0	humpback_call	0.2307
217	Spectrogram 1	1	412.385	413.642	163.6	718.5	humpback_call	0.3943
218	Spectrogram 1	1	416.371	417.247	207.8	649.0	humpback_call	0.6078
219	Spectrogram 1	1	417.503	418.112	340.0	627.6	humpback_call	0.1583
220	Spectrogram 1	1	419.130	419.637	375.1	751.0	humpback_call	0.3123
221	Spectrogram 1	1	420.725	421.601	195.7	664.9	humpback_call	0.5442
222	Spectrogram 1	1	423.971	425.497	294.3	634.6	humpback_call	0.1895
223	Spectrogram 1	1	426.261	426.703	419.2	712.6	humpback_call	0.2067
224	Spectrogram 1	1	427.872	428.705	190.7	654.5	humpback_call	0.5938
225	Spectrogram 1	1	430.815	431.623	206.6	582.5	humpback_call	0.5791
226	Spectrogram 1	1	432.808	433.172	420.8	704.1	humpback_call	0.1826
227	Spectrogram 1	1	434.206	434.994	144.9	599.8	humpback_call	0.6106
228	Spectrogram 1	1	435.027	435.733	249.0	554.5	humpback_call	0.2154
229	Spectrogram 1	1	437.225	438.036	139.1	596.2	humpback_call	0.5087
230	Spectrogram 1	1	439.296	439.764	273.7	662.3	humpback_call	0.1687
231	Spectrogram 1	1	441.004	442.071	110.6	612.1	humpback_call	0.4366
232	Spectrogram 1	1	445.455	446.353	112.0	593.6	humpback_call	0.4224
233	Spectrogram 1	1	448.250	448.731	272.7	637.7	humpback_call	0.2159
234	Spectrogram 1	1	449.772	450.488	188.1	556.2	humpback_call	0.5543
235	Spectrogram 1	1	452.962	453.730	165.7	567.4	humpback_call	0.6187
236	Spectrogram 1	1	453.759	454.501	260.8	530.1	humpback_call	0.1656
237	Spectrogram 1	1	455.592	455.930	363.3	623.5	humpback_call	0.2206
238	Spectrogram 1	1	457.106	457.914	156.8	570.7	humpback_call	0.5723
239	Spectrogram 1	1	457.938	458.746	258.6	531.8	humpback_call	0.1688
240	Spectrogram 1	1	460.473	461.228	185.9	563.7	humpback_call	0.6122
241	Spectrogram 1	1	463.625	464.417	156.4	573.4	humpback_call	0.5652
242	Spectrogram 1	1	467.343	468.271	126.0	562.2	humpback_call	0.4777
243	Spectrogram 1	1	471.609	472.442	123.0	520.5	humpback_call	0.6255
244	Spectrogram 1	1	472.507	473.101	223.6	483.6	humpback_call	0.2239
245	Spectrogram 1	1	474.260	474.802	53.8	286.8	humpback_call	0.1781
246	Spectrogram 1	1	476.565	477.361	135.7	547.2	humpback_call	0.5421
247	Spectrogram 1	1	479.874	480.637	117.6	552.6	humpback_call	0.5722
248	Spectrogram 1	1	479.974	480.656	502.6	903.8	humpback_call	0.1878
249	Spectrogram 1	1	482.341	482.991	51.5	297.9	humpback_call	0.2972
250	Spectrogram 1	1	484.509	485.374	109.3	544.3	humpback_call	0.5290
251	Spectrogram 1	1	485.005	485.895	181.1	481.9	humpback_call	0.3288
252	Spectrogram 1	1	487.691	488.543	123.4	536.1	humpback_call	0.5364
253	Spectrogram 1	1	489.879	490.811	51.7	292.4	humpback_call	0.5268
254	Spectrogram 1	1	493.858	495.255	140.2	509.0	humpback_call	0.3261
255	Spectrogram 1	1	495.015	496.166	176.3	467.4	humpback_call	0.2748
256	Spectrogram 1	1	498.517	500.133	141.1	480.7	humpback_call	0.3317
257	Spectrogram 1	1	501.814	502.785	52.7	266.9	humpback_call	0.4497
258	Spectrogram 1	1	504.823	505.962	139.8	468.9	humpback_call	0.5188
259	Spectrogram 1	1	508.802	510.000	148.5	478.2	humpback_call	0.5624
260	Spectrogram 1	1	510.010	510.846	193.7	460.0	humpback_call	0.2480
261	Spectrogram 1	1	511.722	512.836	254.3	491.0	humpback_call	0.4145
262	Spectrogram 1	1	511.746	512.914	53.1	321.7	humpback_call	0.2750
263	Spectrogram 1	1	514.876	516.527	153.1	468.7	humpback_call	0.5156
264	Spectrogram 1	1	518.887	519.986	183.7	460.2	humpback_call	0.5644
