Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation	Confidence
343	Spectrogram 1	1	727.728	729.626	60.1	448.8	humpback_call	0.2836
344	Spectrogram 1	1	731.466	732.490	123.2	457.8	humpback_call	0.5808
345	Spectrogram 1	1	731.872	733.658	119.3	455.6	humpback_call	0.2105
346	Spectrogram 1	1	735.198	736.866	126.6	473.7	humpback_call	0.4974
347	Spectrogram 1	1	738.524	739.915	62.7	413.6	humpback_call	0.3508
348	Spectrogram 1	1	742.594	744.439	107.0	476.5	humpback_call	0.3759
349	Spectrogram 1	1	742.688	744.297	422.1	794.2	humpback_call	0.3555
350	Spectrogram 1	1	747.463	748.804	139.6	453.0	humpback_call	0.6094
351	Spectrogram 1	1	750.270	751.767	53.1	279.8	humpback_call	0.1541
352	Spectrogram 1	1	751.335	753.039	57.5	424.6	humpback_call	0.3301
353	Spectrogram 1	1	754.902	756.556	127.9	459.0	humpback_call	0.5908
354	Spectrogram 1	1	759.181	760.836	158.2	438.9	humpback_call	0.2331
355	Spectrogram 1	1	761.508	762.500	54.1	344.1	humpback_call	0.2611
356	Spectrogram 1	1	762.212	764.126	61.4	433.1	humpback_call	0.3530
357	Spectrogram 1	1	766.748	768.609	118.1	444.7	humpback_call	0.3767
358	Spectrogram 1	1	771.262	772.989	135.3	459.0	humpback_call	0.5328
359	Spectrogram 1	1	774.183	774.980	54.2	261.2	humpback_call	0.2659
360	Spectrogram 1	1	775.243	776.803	86.8	425.4	humpback_call	0.3067
361	Spectrogram 1	1	778.903	780.393	119.1	456.7	humpback_call	0.4468
362	Spectrogram 1	1	780.012	781.334	118.4	408.8	humpback_call	0.1778
363	Spectrogram 1	1	783.039	784.412	125.8	461.9	humpback_call	0.5796
364	Spectrogram 1	1	786.567	787.878	75.6	422.4	humpback_call	0.3784
365	Spectrogram 1	1	787.508	788.586	53.0	386.6	humpback_call	0.2446
366	Spectrogram 1	1	790.161	791.448	137.9	456.2	humpback_call	0.4792
367	Spectrogram 1	1	793.820	794.977	133.0	459.8	humpback_call	0.5918
368	Spectrogram 1	1	795.013	795.620	152.4	402.1	humpback_call	0.1887
369	Spectrogram 1	1	796.556	797.991	53.5	282.1	humpback_call	0.1554
370	Spectrogram 1	1	797.349	798.451	59.0	413.5	humpback_call	0.3469
371	Spectrogram 1	1	798.521	799.273	55.3	363.6	humpback_call	0.2742
372	Spectrogram 1	1	801.248	803.118	113.7	461.0	humpback_call	0.5127
373	Spectrogram 1	1	802.526	803.685	124.5	408.1	humpback_call	0.2721
374	Spectrogram 1	1	806.366	807.595	138.5	453.3	humpback_call	0.5790
375	Spectrogram 1	1	809.191	809.996	54.1	279.3	humpback_call	0.1808
376	Spectrogram 1	1	810.163	811.623	68.0	416.9	humpback_call	0.4136
377	Spectrogram 1	1	813.466	815.295	110.3	462.6	humpback_call	0.3379
378	Spectrogram 1	1	815.025	816.092	107.9	412.2	humpback_call	0.3451
379	Spectrogram 1	1	817.460	819.366	119.8	468.1	humpback_call	0.5185
380	Spectrogram 1	1	820.833	822.111	55.2	405.9	humpback_call	0.3955
381	Spectrogram 1	1	822.221	823.170	53.5	413.0	humpback_call	0.3079
382	Spectrogram 1	1	825.208	827.094	131.4	466.9	humpback_call	0.5034
383	Spectrogram 1	1	830.288	831.682	143.8	453.2	humpback_call	0.6222
384	Spectrogram 1	1	834.134	835.776	57.7	450.3	humpback_call	0.3016
385	Spectrogram 1	1	837.830	839.739	109.6	469.2	humpback_call	0.4853
386	Spectrogram 1	1	842.000	843.566	129.6	463.6	humpback_call	0.5409
387	Spectrogram 1	1	844.143	844.997	53.9	270.8	humpback_call	0.2382
388	Spectrogram 1	1	845.821	847.464	59.2	417.3	humpback_call	0.2834
389	Spectrogram 1	1	849.096	850.449	130.6	455.5	humpback_call	0.5294
390	Spectrogram 1	1	850.002	850.856	130.1	443.5	humpback_call	0.3026
391	Spectrogram 1	1	853.054	854.130	138.8	459.4	humpback_call	0.5336
392	Spectrogram 1	1	855.286	856.342	54.9	267.8	humpback_call	0.1700
393	Spectrogram 1	1	856.458	858.348	58.1	416.8	humpback_call	0.3522
394	Spectrogram 1	1	860.346	862.235	113.8	474.5	humpback_call	0.5936
395	Spectrogram 1	1	865.412	867.117	120.1	461.0	humpback_call	0.6003
396	Spectrogram 1	1	869.315	871.014	58.3	425.8	humpback_call	0.3071
397	Spectrogram 1	1	872.501	874.340	132.4	472.1	humpback_call	0.3457
398	Spectrogram 1	1	876.911	877.971	144.6	455.0	humpback_call	0.5463
399	Spectrogram 1	1	879.228	880.000	52.3	348.8	humpback_call	0.2228
400	Spectrogram 1	1	880.426	882.137	52.4	430.8	humpback_call	0.1806
401	Spectrogram 1	1	883.279	883.885	185.9	473.6	humpback_call	0.1547
402	Spectrogram 1	1	884.180	885.904	116.7	462.0	humpback_call	0.5396
403	Spectrogram 1	1	889.137	890.346	108.4	456.2	humpback_call	0.3695
404	Spectrogram 1	1	892.578	893.432	524.0	907.7	humpback_call	0.4630
405	Spectrogram 1	1	892.968	894.096	55.2	413.2	humpback_call	0.3825
406	Spectrogram 1	1	895.249	896.052	203.5	464.6	humpback_call	0.1999
407	Spectrogram 1	1	896.165	897.891	135.7	427.9	humpback_call	0.4372
